Total packets,Total size,Mean size,Mean inter-arrival,Scenario
85,8285,97.47058824,0.002908893,0
76,7347,96.67105263,0.003261067,0
140,13810,98.64285714,0.001615108,0
120,11731,97.75833333,0.001868782,0
117,11140,95.21367521,0.001847164,0
109,10746,98.58715596,0.002088639,0
79,7603,96.24050633,0.003010141,0
77,7250,94.15584416,0.002981303,0
164,16031,97.75,0.00137311,0
110,10802,98.2,0.002133376,0
7,450,64.28571429,0.0332685,0
206,20154,97.83495146,0.001149288,0
51,5060,99.21568627,0.00368014,0
40,3619,90.475,0.005935205,0
169,16664,98.6035503,0.001207107,0
147,14562,99.06122449,0.001691103,0
127,12267,96.59055118,0.001562643,0
108,10403,96.32407407,0.002196224,0
91,9033,99.26373626,0.002636022,0
181,17625,97.37569061,0.001338717,0
110,10768,97.89090909,0.002223275,0
101,9636,95.40594059,0.00241577,0
58,5542,95.55172414,0.004241684,0
80,7640,95.5,0.002597658,0
194,19123,98.57216495,0.001220269,0
111,10929,98.45945946,0.001690118,0
118,11545,97.83898305,0.002026051,0
63,6044,95.93650794,0.003297629,0
55,5317,96.67272727,0.003614741,0
130,12484,96.03076923,0.001681674,0
37,3651,98.67567568,0.005759472,0
204,19955,97.81862745,0.001199542,0
140,13541,96.72142857,0.001598964,0
91,8941,98.25274725,0.002621744,0
19,1660,87.36842105,0.011835778,0
123,11693,95.06504065,0.001913525,0
130,12922,99.4,0.001527837,0
174,17098,98.26436782,0.001264647,0
108,10420,96.48148148,0.002133664,0
81,7947,98.11111111,0.003046938,0
171,16796,98.22222222,0.001432271,0
113,10811,95.67256637,0.002169054,0
86,8386,97.51162791,0.002487224,0
106,10261,96.80188679,0.002046829,0
79,7546,95.51898734,0.002465808,0
128,12583,98.3046875,0.001781142,0
155,15138,97.66451613,0.001590812,0
78,7536,96.61538462,0.002605909,0
133,13228,99.45864662,0.00170472,0
61,5598,91.7704918,0.0036475,0
50,4952,99.04,0.004568408,0
208,20377,97.96634615,0.000984705,0
126,12415,98.53174603,0.001935576,0
80,7868,98.35,0.002938481,0
70,6854,97.91428571,0.003204609,0
84,7751,92.27380952,0.002892301,0
73,7275,99.65753425,0.002465764,0
123,11872,96.5203252,0.001983984,0
229,22548,98.4628821,0.001076289,0
92,8833,96.01086957,0.002696209,0
77,7399,96.09090909,0.003270197,0
159,15562,97.87421384,0.001539873,0
83,8114,97.75903614,0.002942963,0
119,11610,97.56302521,0.001661119,0
115,11202,97.40869565,0.002105009,0
74,7168,96.86486486,0.002516658,0
124,11954,96.40322581,0.001777626,0
115,11224,97.6,0.002087009,0
50,4705,94.1,0.004038735,0
179,17695,98.8547486,0.001290489,0
78,7540,96.66666667,0.002595766,0
145,14119,97.37241379,0.001489472,0
84,8185,97.44047619,0.002346133,0
136,13243,97.375,0.001648452,0
78,7771,99.62820513,0.002497532,0
123,11935,97.03252033,0.001624385,0
99,9364,94.58585859,0.002514143,0
57,5558,97.50877193,0.003851536,0
150,14862,99.08,0.001566336,0
165,16022,97.1030303,0.001430079,0
114,11136,97.68421053,0.002157646,0
72,6972,96.83333333,0.003464873,0
63,5917,93.92063492,0.003486113,0
164,16038,97.79268293,0.00133773,0
131,12784,97.58778626,0.001672492,0
110,10875,98.86363636,0.00189045,0
103,9937,96.47572816,0.001977814,0
70,6615,94.5,0.003531565,0
64,6097,95.265625,0.003267794,0
196,19232,98.12244898,0.001203015,0
76,7383,97.14473684,0.00263028,0
156,15304,98.1025641,0.001445523,0
59,5366,90.94915254,0.003860483,0
117,11708,100.0683761,0.001946836,0
126,12112,96.12698413,0.001577392,0
120,11662,97.18333333,0.001749042,0
77,7554,98.1038961,0.002720289,0
155,15030,96.96774194,0.001582721,0
83,8240,99.27710843,0.002939585,0
147,14355,97.65306122,0.001662075,0
110,10886,98.96363636,0.002197688,0
106,10252,96.71698113,0.00225479,0
83,8115,97.77108434,0.002855463,0
95,9116,95.95789474,0.002140851,0
87,8458,97.2183908,0.002393186,0
163,16152,99.09202454,0.001483691,0
119,11633,97.75630252,0.001767525,0
79,7514,95.11392405,0.002697974,0
125,12288,98.304,0.001907516,0
57,5555,97.45614035,0.004356304,0
50,4768,95.36,0.004464327,0
220,21512,97.78181818,0.000986461,0
79,7737,97.93670886,0.002848359,0
146,14280,97.80821918,0.001387779,0
49,4621,94.30612245,0.004831625,0
79,7606,96.27848101,0.002562487,0
70,6568,93.82857143,0.002970928,0
106,10474,98.81132075,0.0018232,0
254,25047,98.61023622,0.000926854,0
81,7819,96.5308642,0.00311085,0
69,6679,96.79710145,0.003646706,0
178,17368,97.57303371,0.001365881,0
81,7751,95.69135802,0.002367625,0
133,13059,98.18796992,0.001698735,0
103,10037,97.44660194,0.002173353,0
80,7651,95.6375,0.002978899,0
158,15670,99.17721519,0.001466771,0
88,8304,94.36363636,0.002649494,0
41,3870,94.3902439,0.005281775,0
194,18895,97.39690722,0.001213528,0
48,4842,100.875,0.003867617,0
109,10519,96.50458716,0.002144194,0
47,4456,94.80851064,0.004461304,0
144,14142,98.20833333,0.001501259,0
184,18106,98.40217391,0.00127094,0
97,9307,95.94845361,0.0020725,0
50,4951,99.02,0.00400402,0
126,12140,96.34920635,0.001660584,0
198,19508,98.52525253,0.001248792,0
106,10246,96.66037736,0.002318067,0
101,9811,97.13861386,0.00247253,0
76,7297,96.01315789,0.003265387,0
98,9649,98.45918367,0.002287443,0
149,14518,97.43624161,0.0013595,0
115,11261,97.92173913,0.001983693,0
117,11376,97.23076923,0.001924224,0
74,7236,97.78378378,0.002983,0
63,6045,95.95238095,0.003890452,0
134,12943,96.58955224,0.001658827,0
152,15055,99.04605263,0.001423834,0
8,520,65,0.034650714,0
210,20724,98.68571429,0.000984421,0
87,8510,97.81609195,0.002708407,0
92,8929,97.05434783,0.002419604,0
97,9716,100.1649485,0.002336156,0
128,12382,96.734375,0.001791858,0
151,14932,98.88741722,0.001654293,0
84,8247,98.17857143,0.002856687,0
81,7731,95.44444444,0.003074062,0
164,15984,97.46341463,0.00144354,0
112,11041,98.58035714,0.002233468,0
102,9958,97.62745098,0.002429089,0
86,8403,97.70930233,0.002812471,0
84,7970,94.88095238,0.002427337,0
146,14562,99.73972603,0.001438345,0
112,11005,98.25892857,0.001938279,0
118,11525,97.66949153,0.00209688,0
80,7616,95.2,0.00293243,0
109,10537,96.66972477,0.002078426,0
76,7502,98.71052632,0.002780947,0
107,10352,96.74766355,0.002267094,0
167,16252,97.31736527,0.001330819,0
81,7866,97.11111111,0.00251825,0
133,13007,97.79699248,0.001827545,0
55,5363,97.50909091,0.003818185,0
98,9367,95.58163265,0.00206068,0
8,520,65,0.029187,0
107,10513,98.25233645,0.002215264,0
291,28946,99.47079038,0.0007244,0
98,9325,95.15306122,0.002543598,0
87,8385,96.37931034,0.002885081,0
153,14847,97.03921569,0.001576684,0
87,8483,97.50574713,0.002663058,0
115,11256,97.87826087,0.001671719,0
113,11102,98.24778761,0.002092946,0
89,8666,97.37078652,0.002412284,0
119,11591,97.40336134,0.001862102,0
109,10718,98.33027523,0.001951991,0
80,7639,95.4875,0.002780089,0
144,14129,98.11805556,0.001505937,0
76,7339,96.56578947,0.002572467,0
116,11327,97.64655172,0.00207547,0
114,11159,97.88596491,0.001716469,0
133,12934,97.2481203,0.001609727,0
81,7988,98.61728395,0.003004187,0
123,11998,97.54471545,0.001768131,0
109,10716,98.31192661,0.002053491,0
79,7552,95.59493671,0.002956077,0
74,7125,96.28378378,0.003248644,0
208,20277,97.48557692,0.001025855,0
116,11253,97.00862069,0.002129887,0
86,8415,97.84883721,0.002887082,0
65,6425,98.84615385,0.003459156,0
162,15560,96.04938272,0.00136982,0
129,12560,97.36434109,0.001806805,0
118,11491,97.38135593,0.00180441,0
113,11077,98.02654867,0.002210054,0
60,5762,96.03333333,0.003938593,0
107,10349,96.71962617,0.002047925,0
139,13677,98.39568345,0.001595543,0
79,7638,96.6835443,0.002703462,0
154,15116,98.15584416,0.001355248,0
82,7845,95.67073171,0.002474407,0
102,10184,99.84313725,0.002340317,0
69,6538,94.75362319,0.002961544,0
